Date,Open,High,Low,Close,Adj Close,Volume
2016-08-24,263.000000,265.000000,262.000000,262.000000,255.967804,21219
2016-08-25,262.000000,263.500000,260.000000,261.100006,255.088531,80519
2016-08-26,261.000000,262.100006,255.100006,257.500000,251.571365,65458
2016-08-29,258.000000,260.000000,256.500000,258.700012,252.743774,46880
2016-08-30,260.000000,261.100006,259.000000,259.399994,253.427628,45161
2016-08-31,259.600006,261.000000,253.500000,256.000000,250.105927,45093
2016-09-01,257.000000,257.000000,252.100006,255.899994,250.008209,39252
2016-09-02,257.000000,260.000000,257.000000,258.899994,252.939178,80059
2016-09-05,258.000000,258.500000,256.250000,257.250000,251.327133,23142
2016-09-06,257.000000,261.950012,257.000000,261.500000,255.479324,96040
2016-09-07,262.049988,268.000000,262.049988,265.500000,259.387146,62403
2016-09-08,265.600006,271.399994,264.000000,266.399994,260.266449,61775
2016-09-09,264.500000,264.500000,259.500000,259.500000,253.525345,34716
2016-09-12,261.000000,261.000000,257.500000,259.500000,253.525345,41494
2016-09-13,259.000000,260.000000,254.000000,259.500000,253.525345,48633
2016-09-14,259.500000,262.000000,257.600006,258.299988,252.352966,37095
2016-09-15,258.299988,262.350006,258.000000,261.500000,255.479324,32808
2016-09-16,261.000000,261.000000,254.250000,257.500000,251.571365,75540
2016-09-19,258.500000,264.000000,258.500000,260.200012,254.209229,50950
2016-09-20,261.000000,262.000000,255.000000,256.500000,250.594406,39499
2016-09-21,256.600006,263.899994,256.600006,263.899994,257.824036,95437
2016-09-22,265.299988,270.500000,265.299988,270.000000,263.783569,61660
2016-09-23,270.000000,270.000000,262.100006,264.500000,258.410217,31226
2016-09-26,262.100006,264.649994,261.500000,261.500000,255.479324,17946
2016-09-27,260.950012,261.500000,257.500000,258.500000,252.548340,66648
2016-09-28,263.500000,273.500000,259.000000,273.299988,267.007599,154083
2016-09-29,272.500000,280.000000,272.500000,278.000000,271.599365,270713
2016-09-30,278.100006,279.500000,275.049988,278.000000,271.599365,147338
2016-10-03,278.000000,281.350006,277.899994,280.700012,274.237213,112617
2016-10-04,283.299988,289.899994,282.500000,286.799988,280.196777,168095
2016-10-05,289.000000,296.000000,289.000000,294.100006,287.328735,219642
2016-10-06,296.000000,297.000000,290.000000,294.000000,287.231049,131840
2016-10-07,294.000000,298.000000,291.200012,295.500000,288.696472,175675
2016-10-11,295.500000,296.000000,292.000000,294.500000,287.719543,102463
2016-10-12,294.000000,295.700012,290.100006,291.500000,284.788574,39171
2016-10-13,288.000000,288.000000,284.000000,286.500000,279.903687,96680
2016-10-14,288.000000,288.950012,285.000000,286.500000,279.903687,46717
2016-10-17,286.000000,293.500000,286.000000,293.500000,286.742554,102037
2016-10-18,293.500000,294.500000,289.000000,292.000000,285.277039,80038
2016-10-19,295.000000,298.000000,294.000000,294.500000,287.719543,158848
2016-10-20,295.000000,295.500000,288.000000,289.500000,282.834625,96114
2016-10-21,289.000000,290.899994,287.549988,288.250000,281.613403,82727
2016-10-24,289.000000,290.000000,283.500000,288.000000,281.369171,99508
2016-10-25,286.000000,288.899994,285.000000,285.899994,279.317505,63251
2016-10-26,285.000000,285.000000,277.250000,279.000000,272.576385,128273
2016-10-27,279.000000,282.399994,275.500000,276.000000,269.645447,48698
2016-10-28,276.000000,280.000000,269.049988,271.500000,265.249054,116767
2016-10-31,270.000000,272.000000,266.000000,268.350006,262.171600,51125
2016-11-01,272.000000,272.000000,258.500000,262.500000,256.456268,94525
2016-11-02,261.000000,261.000000,254.850006,256.500000,250.594406,203193
2016-11-03,256.500000,256.500000,251.750000,252.000000,246.198029,180338
2016-11-04,252.850006,253.500000,250.000000,252.500000,246.686493,104355
2016-11-07,255.100006,260.000000,252.500000,255.199997,249.324341,207974
2016-11-08,255.500000,257.000000,250.300003,250.600006,244.830261,167343
2016-11-09,232.000000,246.949997,232.000000,244.000000,238.382187,237068
2016-11-10,244.500000,245.000000,236.000000,240.500000,234.962799,115153
